PostalCode,Median_Income,Population,Median_age,Keydemo_per
35650,43521.0,13668,42.4,0.18803043605501898
35651,35438.0,1364,37.9,0.1832844574780058
35652,54135.0,8704,43.4,0.1965762867647058
35653,43547.0,10615,36.5,0.2418276024493641
35654,42622.0,7771,36.3,0.2227512546647793
35660,34194.0,8986,44.9,0.1398842644113064
35661,60311.0,17027,41.4,0.2007987314265578
35670,55592.0,6594,40.6,0.1756141947224749
35671,30539.0,1958,41.9,0.2517875383043922
35672,51505.0,5714,34.9,0.2114105705285264
35673,53822.0,7460,41.6,0.1671581769436997
35674,49358.0,19144,38.6,0.1878395319682407
35677,38125.0,1593,37.9,0.1833019460138104
35739,51575.0,5076,38.2,0.1771079590228526
35740,30531.0,3056,43.6,0.1357984293193717
35741,74569.0,2801,47.6,0.1349518029275258
35744,36760.0,1956,43.2,0.1748466257668711
35745,30625.0,164,55.4,0.1768292682926829
35746,33980.0,461,54.2,0.0498915401301518
35747,56563.0,5302,47.4,0.1674839683138438
35748,75370.0,7300,44.2,0.1693150684931506
35749,91496.0,22804,38.0,0.1583932643395895
35750,56250.0,13391,39.6,0.1981181390486147
35751,48000.0,238,49.4,0.2521008403361344
35752,47002.0,2682,43.5,0.1349739000745712
35754,50417.0,5300,42.5,0.1854716981132075
35755,46364.0,450,57.1,0.2666666666666666
35756,94737.0,13855,34.8,0.1805846264886322
35757,91765.0,16909,39.0,0.1808504346797563
35758,91900.0,46724,38.9,0.1904588648232172
35759,90655.0,8113,40.4,0.1400221866140761
35760,53831.0,4876,41.7,0.1726825266611977
35761,64521.0,12547,41.1,0.1830716505937674
35763,121158.0,19855,40.4,0.1301435406698564
35764,28750.0,540,53.0,0.1111111111111111
35765,37429.0,3633,48.0,0.1445086705202312
35766,,155,49.1,0.23225806451612901
35768,43219.0,11473,42.2,0.2047415671576745
35769,45677.0,9745,45.0,0.1621344279117496
35771,50064.0,3959,39.3,0.1672139429148774
35772,39556.0,4762,38.5,0.1860562788744225
35773,54933.0,12323,39.6,0.1989775217073764
35774,52750.0,198,49.8,0.2929292929292929
35775,36591.0,1095,48.7,0.2347031963470319
35776,38448.0,3785,46.5,0.1236459709379128
35801,71947.0,23947,40.3,0.2326387438927631
35802,64702.0,21853,44.9,0.1951677115270214
35803,78524.0,26242,46.3,0.15299900922185802
35805,25511.0,20491,31.3,0.2878336830803767
35806,68490.0,23019,36.7,0.2836787002041792
35808,90104.0,1348,25.4,0.3842729970326409
35810,37488.0,29274,37.2,0.203354512536722
35811,65740.0,27245,40.8,0.1706368140943292
35816,25451.0,13971,28.0,0.3841528881254026
35824,83950.0,8298,33.6,0.3218847915160279
35896,,698,19.9,0.4713467048710602
35901,39688.0,19811,40.7,0.1709151481500176
35903,37492.0,17699,39.0,0.2270749759873439
35904,35349.0,13704,43.2,0.1662288382953882
35905,57989.0,6219,46.0,0.1296028300369834
35906,50929.0,9811,38.5,0.1906023850779737
35907,73143.0,8589,41.4,0.2072418209337524
35950,44670.0,20867,32.9,0.1894857909618057
35951,37000.0,12686,35.9,0.184691786221031
35952,40991.0,7879,41.8,0.1420230993780936
35953,46096.0,7519,42.1,0.11357893336879901
35954,39956.0,11834,40.9,0.1649484536082474
35956,47016.0,8927,44.7,0.1708300660916321
35957,40235.0,15967,36.7,0.1834408467464144
35958,42885.0,3523,42.8,0.1407891001986942
35959,39743.0,4523,49.2,0.1720097280565996
35960,44189.0,9714,49.8,0.1232242124768375
35961,39467.0,7082,39.1,0.1656311776334368
35962,42796.0,8730,36.0,0.2092783505154639
35963,33250.0,1201,47.5,0.1465445462114904
35966,41912.0,4182,49.4,0.1549497847919655
35967,39575.0,16274,38.5,0.1744500430133956
35968,44185.0,5206,36.8,0.2055320783711102
35971,43472.0,5666,37.5,0.20155312389692898
35972,60398.0,1222,43.2,0.1931260229132569
35973,37244.0,2810,44.0,0.1370106761565836
35974,40882.0,1744,37.8,0.1582568807339449
35975,30938.0,629,53.0,0.1669316375198728
35976,50580.0,17549,43.7,0.1773320417117784
35978,41020.0,4901,42.2,0.1618037135278514
35979,35417.0,1352,41.1,0.1383136094674556
35980,46198.0,5440,38.5,0.1693014705882353
35981,43641.0,1802,46.3,0.1675915649278579
35983,55052.0,3683,40.6,0.2240021721422753
35984,41071.0,1492,59.8,0.0683646112600536
35986,36640.0,7968,39.1,0.1940261044176706
35987,42391.0,2458,37.8,0.2115541090317331
35988,43679.0,2311,34.9,0.1826049329294677
35989,39185.0,3831,36.8,0.1782824327851735
35990,,82,21.4,0.3414634146341463
36003,37000.0,1963,48.8,0.1482424859908303
36005,49722.0,1438,42.7,0.1418636995827538
36006,47154.0,1108,45.0,0.1922382671480144
36009,38500.0,2463,43.5,0.1762078765732846
36010,40345.0,4766,43.3,0.2014267729752412
36013,103696.0,615,51.8,0.1252032520325203
36016,33263.0,4951,40.8,0.254494041607756
36017,24413.0,2897,40.4,0.215050051777701
36020,41641.0,1039,42.6,0.1328200192492781
36022,70200.0,13003,38.2,0.1960316849957702
36024,53506.0,5124,48.5,0.1243169398907103
36025,44952.0,6231,38.2,0.32643235435724605
36026,44432.0,1091,58.7,0.2456461961503208
36027,32767.0,14970,40.1,0.18062792251169
36028,37798.0,1438,49.2,0.1787204450625869
36029,47216.0,1164,39.8,0.1030927835051546
36030,33021.0,605,51.6,0.2297520661157024
36031,,185,55.1,0.1513513513513513
36032,34464.0,2464,33.3,0.2642045454545454
36033,39425.0,4262,45.0,0.1351478179258564
36034,42500.0,1132,37.0,0.1890459363957597
36035,42292.0,1606,42.5,0.1942714819427148
36036,44940.0,1688,45.2,0.20734597156398102
36037,41733.0,12944,39.5,0.1830191594561186
36038,,44,54.8,0.4090909090909091
36039,50677.0,232,49.8,0.3405172413793103
36040,24852.0,3452,40.9,0.1633835457705678
36041,39931.0,1344,44.4,0.1309523809523809
36042,47273.0,1947,46.1,0.1664098613251155
36043,50000.0,3626,45.7,0.2349696635410921
36046,40956.0,1406,47.8,0.1152204836415362
36047,41895.0,1084,46.3,0.0977859778597785
36048,31250.0,1513,44.0,0.2075346992729676
36049,46696.0,5883,40.2,0.1896991330953595
36051,70438.0,2057,44.5,0.0816723383568303
36052,106406.0,393,60.0,0.0458015267175572
36053,28478.0,1732,37.4,0.2159353348729792
36054,58125.0,15899,32.6,0.23435436190955397
36064,109082.0,10149,38.9,0.1295694157059808
36066,62284.0,19732,35.7,0.2287147780255422
36067,53645.0,27601,38.2,0.1809354733524147
36069,46020.0,2028,50.7,0.1809664694280079
36071,31635.0,456,52.2,0.1184210526315789
36075,37202.0,2240,43.8,0.1866071428571428
36078,54842.0,12540,40.2,0.217304625199362
36079,49792.0,9932,34.2,0.2698348771647201
36080,81250.0,2412,49.0,0.1318407960199005
36081,27368.0,15754,26.4,0.3331852228005585
36082,,1141,19.6,0.3645924627519719
36083,32394.0,7316,46.2,0.1858939311098961
36088,31200.0,4646,21.7,0.3900129143349117
36089,34417.0,7698,39.8,0.1897895557287607
36091,39821.0,3590,44.3,0.1735376044568245
36092,54861.0,20170,40.4,0.1863163113534953
36093,98438.0,11084,39.0,0.1520209310718152
36104,26401.0,8465,32.4,0.2555227406969876
36105,31287.0,9391,46.8,0.1566393355340219
36106,59985.0,14951,36.2,0.2450003344257909
36107,29592.0,7669,32.1,0.2464467336028165
36108,24832.0,17680,43.1,0.1990384615384615
36109,54561.0,25377,39.3,0.2063285652362375
36110,32760.0,11693,37.8,0.1847259043872402
36111,51679.0,12610,36.3,0.2134813639968279
36112,,309,24.7,0.9288025889967636
36113,88375.0,1764,36.1,0.2352607709750566
36115,69028.0,1058,23.6,0.3383742911153119
36116,45883.0,43882,33.4,0.2364523039059295
36117,64011.0,54640,34.9,0.2339494875549048
36201,27533.0,17482,42.5,0.1948289669374213
36203,56237.0,18453,37.0,0.2038692895464152
36205,85373.0,1027,31.6,0.3612463485881207
36206,45115.0,11648,40.9,0.1812328296703296
36207,54023.0,19614,39.9,0.1941470378301213
36250,70813.0,4768,40.2,0.1826761744966443
36251,35671.0,4400,46.2,0.1913636363636363
36255,44375.0,944,35.6,0.2330508474576271
36256,41827.0,1621,46.1,0.1449722393584207
36258,55500.0,1385,51.7,0.1299638989169675
36260,40714.0,4259,43.4,0.1251467480629255
36262,40147.0,1326,43.3,0.1704374057315233
36263,26324.0,420,55.3,0.1452380952380952
36264,41123.0,8305,43.5,0.1487055990367248
36265,50020.0,20238,32.5,0.2584741575254471
36266,42574.0,6106,37.5,0.1388797903701277
36267,,7,,0.0
36268,54286.0,5514,40.3,0.1737395719985491
36269,55216.0,1685,32.6,0.1887240356083086
36271,54073.0,5771,47.2,0.1757061167908508
36272,41059.0,13097,46.3,0.1230052683820722
36273,47625.0,3125,44.0,0.2032
36274,40136.0,11067,42.7,0.1789102737869341
36276,35804.0,2573,36.7,0.1756704236300038
36277,57250.0,5771,38.1,0.1758793969849246
36278,39235.0,4557,46.6,0.1334211103796357
36279,56851.0,2452,49.2,0.0893148450244698
36280,55803.0,4332,44.5,0.1655124653739612
36301,42140.0,37608,38.1,0.1986545415868964
36303,44639.0,30986,38.8,0.1938940166526818
36305,67601.0,15954,40.4,0.1780744640842421
36310,39983.0,6275,50.3,0.1684462151394422
36311,36426.0,2426,48.2,0.1945589447650453
36312,46111.0,6285,41.0,0.19618138424821
36313,72286.0,244,37.6,0.0860655737704918
36314,36875.0,398,59.5,0.0552763819095477
36316,64243.0,2118,46.7,0.1576959395656279
36317,28839.0,486,60.3,0.1090534979423868
36318,50625.0,1481,35.7,0.0783254557731262
36319,41893.0,2200,46.9,0.13
36320,40417.0,3660,43.7,0.1969945355191256
36321,42500.0,1816,33.9,0.2081497797356828
36322,41989.0,8921,37.1,0.188880170384486
36323,44978.0,7862,46.6,0.1971508522004579
36330,61447.0,37144,37.6,0.18939801852250698
36340,40828.0,5718,41.0,0.21720881427072397
36343,41518.0,1241,50.6,0.1474617244157937
36344,43273.0,5719,41.1,0.1591187270501836
36345,62117.0,8785,41.0,0.1082527034718269
36346,48424.0,1432,39.6,0.1941340782122905
36350,42634.0,6428,37.2,0.2022401991288114
36351,49074.0,3482,47.0,0.1206203331418724
36352,65379.0,5433,42.8,0.1761457758144671
36353,41648.0,1683,48.7,0.1889483065953654
36360,44112.0,19064,43.9,0.1630297943768359
36362,70024.0,5311,24.3,0.517228393899454
36370,43125.0,881,51.5,0.1305334846765039
36371,40000.0,767,45.6,0.0821382007822685
36373,27102.0,435,55.9,0.2091954022988505
36374,59875.0,787,50.1,0.1601016518424396
36375,46932.0,6976,44.8,0.1591169724770642
36376,42212.0,2179,45.3,0.1624598439651216
36401,37856.0,7730,43.0,0.1689521345407503
36420,44753.0,10369,46.5,0.1612498794483556
36421,42560.0,9966,37.0,0.1955649207304836
36425,26635.0,1045,46.9,0.1779904306220095
36426,40511.0,15262,43.4,0.1620364303498886
36432,38125.0,2150,45.3,0.1172093023255814
36435,35054.0,370,42.4,0.2081081081081081
36436,39231.0,359,44.4,0.2757660167130919
36439,38929.0,502,32.2,0.2310756972111553
36441,37656.0,3886,38.5,0.1827071538857436
36442,35513.0,3356,44.8,0.1659713945172825
36444,30982.0,774,42.9,0.1821705426356589
36445,45316.0,4524,43.9,0.1038903625110521
36446,,441,48.2,0.1723356009070294
36451,47551.0,4312,43.3,0.15978664192949898
36453,37607.0,2396,50.1,0.1652754590984975
36454,,8,,0.0
36455,37614.0,252,53.1,0.1071428571428571
36456,40481.0,1528,39.4,0.1374345549738219
36460,30511.0,10246,41.6,0.1820222525863751
36467,38795.0,9810,45.0,0.1592252803261977
36470,,51,,0.0
36471,18203.0,904,51.3,0.0663716814159292
36473,60987.0,102,68.7,0.0686274509803921
36474,47328.0,2647,46.4,0.146581035134114
36475,28158.0,2393,38.6,0.1926452152110321
36476,,16,20.9,0.5625
36477,32305.0,3688,45.5,0.1431670281995661
36480,27461.0,1682,45.6,0.1432818073721759
36481,16161.0,443,43.1,0.218961625282167
36482,31711.0,1004,54.4,0.1095617529880478
36483,42188.0,447,55.4,0.1879194630872483
36502,32845.0,18113,37.7,0.2244244465301164
36505,73090.0,1682,33.1,0.1319857312722948
36507,44635.0,21360,40.5,0.1692415730337078
36509,43363.0,2054,43.6,0.2195715676728335
36511,20615.0,221,63.7,0.0
36512,,39,67.8,0.0
36513,27051.0,672,16.9,0.0952380952380952
36518,40000.0,2744,43.1,0.178935860058309
36521,55610.0,6073,41.1,0.1941379878149184
36522,41319.0,7339,35.3,0.2082027524185856
36523,46420.0,2809,48.2,0.1210395158419366
36524,35093.0,1328,41.2,0.1799698795180722
36525,43714.0,1914,33.4,0.1656217345872518
36526,77739.0,34565,36.2,0.2032692029509619
36527,94088.0,15517,38.6,0.1544757362892311
36528,87596.0,1324,58.8,0.1019637462235649
36529,,209,48.6,0.0669856459330143
36530,48906.0,6363,46.5,0.1472575829011472
36532,69766.0,35066,44.3,0.1318656248217646
36535,46753.0,33065,44.7,0.1806744291546953
36538,29000.0,377,63.4,0.0026525198938992
36539,32583.0,688,27.7,0.3037790697674418
36540,32870.0,628,45.7,0.2579617834394904
36541,58794.0,15524,35.0,0.1895774284978098
36542,53792.0,14045,50.3,0.1333570665717337
36543,,137,26.0,0.1751824817518248
36544,44681.0,11682,42.1,0.1619585687382297
36545,35970.0,9743,41.6,0.1564199938417325
36548,,998,47.5,0.1933867735470942
36549,50000.0,5687,55.4,0.1042729031123615
36550,118674.0,179,61.7,0.3687150837988827
36551,58849.0,9573,39.5,0.2080852397367596
36553,45245.0,2721,43.9,0.1462697537669974
36555,60781.0,806,57.6,0.1637717121588089
36556,,571,32.2,0.1418563922942206
36558,49315.0,3677,45.3,0.1166711993472939
36559,26614.0,213,79.1,0.0845070422535211
36560,36397.0,3243,46.2,0.1880974406413814
36561,83064.0,6843,58.1,0.114569633201812
36562,43816.0,1362,46.2,0.1703377386196769
36564,,153,42.7,0.0
36567,51479.0,13980,39.6,0.1557224606580829
36568,13750.0,92,65.5,0.1739130434782608
36569,44137.0,570,54.2,0.2035087719298245
36571,58696.0,15474,37.8,0.1805609409331782
36572,64348.0,6159,41.0,0.1714564052605942
36574,,1123,53.2,0.1611754229741763
36575,54921.0,21118,37.3,0.1835874609338005
36576,57338.0,4198,44.2,0.1443544545021438
36578,80313.0,1436,45.0,0.0919220055710306
36579,48182.0,1214,55.0,0.1276771004942339
36580,47438.0,5507,40.4,0.2182676593426548
36581,,258,46.5,0.3178294573643411
36582,54544.0,24029,36.7,0.191268883432519
36583,41181.0,898,37.1,0.1325167037861915
36584,69531.0,856,36.1,0.2663551401869158
36585,31154.0,1242,32.8,0.1674718196457326
36587,50529.0,10317,43.7,0.1646796549384511
36602,28750.0,932,52.2,0.24248927038626603
36603,20801.0,9552,35.6,0.2905150753768844
36604,47080.0,9423,37.6,0.2403693091372174
36605,35632.0,27372,37.5,0.2047347654537483
36606,40850.0,18787,35.3,0.2333528503752595
36607,37220.0,6398,39.6,0.233510472022507
36608,51332.0,35336,35.7,0.2636687797147385
36609,40363.0,23492,38.1,0.2397411884896986
36610,25963.0,10728,39.1,0.1903430275913497
36611,28611.0,5817,30.2,0.1899604607185834
36612,22172.0,4626,31.0,0.1817985300475572
36613,39113.0,13583,35.4,0.2026798203636899
36616,,8,,1.0
36617,31192.0,13306,40.4,0.2096046896137081
36618,44531.0,17143,40.1,0.1846817943183807
36619,50739.0,15507,40.9,0.1871412910298575
36688,,237,19.6,0.4135021097046413
36693,61155.0,19721,42.0,0.1779321535419096
36695,69084.0,51804,36.1,0.2061616863562659
36701,37110.0,20558,39.3,0.18343224049032
36703,29990.0,12927,37.5,0.1869730022433666
36720,17941.0,963,33.2,0.1588785046728972
36722,29722.0,441,38.9,0.31065759637188206
36723,16343.0,371,19.1,0.0
36726,34205.0,4706,40.5,0.1476838079048023
36727,,12,,0.0
36728,19276.0,214,57.3,0.1869158878504672
36732,28056.0,7706,38.6,0.171165325720218
36736,64792.0,1633,31.7,0.1726883037354562
36738,32765.0,718,49.0,0.1239554317548746
36740,34521.0,1276,50.0,0.2006269592476489
36742,47466.0,1921,49.0,0.2545549193128579
36744,29675.0,6294,41.2,0.1744518589132507
36748,40208.0,2419,51.9,0.1624638280281108
36749,27266.0,949,48.5,0.1928345626975764
36750,41944.0,2622,39.0,0.1193745232646834
36751,32143.0,632,34.4,0.1471518987341772
36752,,1146,53.0,0.1431064572425829
36753,,8,,0.0
36754,,473,58.8,0.0993657505285412
36756,25553.0,5867,37.0,0.13771944775865
36758,52212.0,1412,46.0,0.1019830028328611
36759,37250.0,1831,44.1,0.1250682687056253
36761,25750.0,787,51.7,0.1092757306226175
36763,36250.0,316,26.3,0.1044303797468354
36765,22807.0,1685,35.8,0.1584569732937685
36766,,22,61.5,0.0909090909090909
36767,22891.0,1476,49.8,0.1470189701897019
36768,28750.0,900,47.6,0.1677777777777777
36769,35197.0,2444,41.8,0.1661211129296235
36773,28507.0,469,24.7,0.1172707889125799
36775,35921.0,1025,41.4,0.2117073170731707
36776,28182.0,1856,31.7,0.2322198275862069
36782,38214.0,2685,39.8,0.1508379888268156
36783,27143.0,686,49.1,0.0787172011661807
36784,37832.0,7181,40.9,0.1910597409831499
36785,34079.0,1074,50.8,0.0819366852886405
36786,18281.0,2474,37.0,0.1576394502829426
36790,,89,58.5,0.3707865168539326
36792,69189.0,1396,34.9,0.2220630372492836
36793,,279,42.6,0.2831541218637993
36801,46713.0,25071,37.4,0.2181404810338638
36804,51159.0,18535,38.5,0.18392230914486102
